seed,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
0,769.0,737.0,295.0,116.0,58.0,41.0,185.0,275.0,304.0,17.0,19.0,698.0,623.0,273.0,106.0,42.0,40.0,201.0,242.0,245.0,12.0,18.0,298.0,282.0,101.0,48.0,24.0,18.0,72.0,113.0,103.0,10.0,4.0,109.0,113.0,51.0,24.0,12.0,7.0,30.0,42.0,50.0,2.0,2.0,43.0,48.0,30.0,11.0,4.0,3.0,17.0,20.0,25.0,0.0,0.0,58.0,43.0,20.0,4.0,6.0,3.0,18.0,32.0,22.0,1.0,1.0,236.0,187.0,97.0,30.0,23.0,14.0,47.0,81.0,64.0,4.0,5.0,302.0,275.0,119.0,51.0,19.0,20.0,68.0,107.0,87.0,11.0,6.0,252.0,214.0,107.0,37.0,21.0,17.0,78.0,101.0,84.0,8.0,2.0,16.0,12.0,5.0,2.0,0.0,1.0,5.0,6.0,10.0,1.0,0.0,18.0,22.0,9.0,3.0,2.0,1.0,11.0,8.0,6.0,0.0,0.0
1,837.0,707.0,315.0,118.0,58.0,52.0,204.0,337.0,265.0,20.0,20.0,684.0,608.0,253.0,101.0,61.0,41.0,191.0,261.0,231.0,17.0,14.0,299.0,258.0,94.0,43.0,22.0,15.0,71.0,95.0,95.0,10.0,7.0,121.0,107.0,49.0,21.0,11.0,5.0,32.0,50.0,40.0,4.0,4.0,66.0,49.0,20.0,7.0,4.0,2.0,16.0,28.0,12.0,0.0,1.0,57.0,57.0,20.0,6.0,6.0,1.0,22.0,27.0,17.0,1.0,1.0,194.0,192.0,67.0,39.0,14.0,16.0,53.0,81.0,80.0,4.0,6.0,292.0,274.0,122.0,48.0,21.0,19.0,87.0,96.0,107.0,8.0,2.0,271.0,246.0,80.0,33.0,27.0,22.0,56.0,84.0,101.0,2.0,5.0,13.0,17.0,9.0,1.0,1.0,0.0,4.0,5.0,3.0,0.0,1.0,26.0,20.0,7.0,1.0,2.0,2.0,8.0,9.0,4.0,1.0,1.0
2,831.0,726.0,309.0,111.0,59.0,58.0,225.0,328.0,275.0,12.0,15.0,703.0,636.0,221.0,109.0,44.0,43.0,197.0,273.0,235.0,14.0,22.0,314.0,281.0,104.0,42.0,12.0,22.0,66.0,123.0,95.0,6.0,4.0,112.0,111.0,31.0,21.0,9.0,8.0,31.0,32.0,41.0,5.0,2.0,65.0,46.0,20.0,7.0,1.0,2.0,16.0,14.0,14.0,0.0,0.0,46.0,46.0,18.0,8.0,5.0,4.0,15.0,24.0,18.0,1.0,1.0,206.0,188.0,69.0,28.0,20.0,12.0,53.0,84.0,65.0,7.0,4.0,300.0,248.0,100.0,38.0,26.0,17.0,93.0,111.0,100.0,8.0,7.0,263.0,255.0,99.0,44.0,17.0,14.0,78.0,105.0,73.0,7.0,12.0,16.0,12.0,5.0,2.0,3.0,1.0,4.0,4.0,3.0,0.0,0.0,22.0,12.0,9.0,5.0,0.0,2.0,2.0,7.0,3.0,0.0,0.0
3,781.0,735.0,338.0,140.0,62.0,51.0,216.0,318.0,250.0,20.0,14.0,735.0,659.0,258.0,110.0,51.0,51.0,184.0,244.0,237.0,17.0,11.0,294.0,246.0,110.0,38.0,25.0,14.0,80.0,122.0,108.0,6.0,5.0,112.0,109.0,43.0,13.0,14.0,9.0,32.0,33.0,42.0,1.0,1.0,50.0,58.0,23.0,11.0,1.0,4.0,14.0,27.0,25.0,1.0,2.0,45.0,63.0,18.0,7.0,3.0,2.0,13.0,18.0,25.0,3.0,2.0,173.0,170.0,68.0,27.0,7.0,13.0,52.0,77.0,71.0,4.0,3.0,289.0,269.0,100.0,55.0,23.0,19.0,72.0,101.0,101.0,6.0,9.0,276.0,238.0,112.0,42.0,17.0,10.0,81.0,98.0,76.0,3.0,8.0,19.0,14.0,9.0,2.0,4.0,0.0,7.0,4.0,5.0,0.0,0.0,20.0,16.0,7.0,2.0,2.0,1.0,4.0,3.0,8.0,0.0,1.0
4,780.0,704.0,305.0,129.0,63.0,53.0,211.0,321.0,253.0,13.0,18.0,674.0,669.0,232.0,102.0,49.0,44.0,195.0,276.0,229.0,11.0,17.0,297.0,243.0,95.0,43.0,21.0,9.0,91.0,101.0,92.0,7.0,7.0,117.0,112.0,41.0,17.0,7.0,7.0,35.0,40.0,35.0,2.0,6.0,66.0,51.0,30.0,8.0,4.0,4.0,11.0,20.0,21.0,1.0,2.0,50.0,46.0,19.0,4.0,4.0,6.0,9.0,24.0,18.0,1.0,2.0,173.0,190.0,73.0,32.0,10.0,13.0,44.0,88.0,84.0,2.0,5.0,292.0,313.0,116.0,50.0,26.0,21.0,88.0,125.0,99.0,7.0,7.0,246.0,246.0,88.0,52.0,28.0,18.0,69.0,117.0,106.0,10.0,3.0,13.0,17.0,6.0,2.0,1.0,3.0,4.0,6.0,7.0,0.0,2.0,25.0,15.0,7.0,5.0,1.0,3.0,4.0,7.0,7.0,0.0,2.0
5,800.0,736.0,278.0,126.0,61.0,58.0,215.0,294.0,309.0,16.0,15.0,668.0,629.0,253.0,102.0,50.0,49.0,192.0,270.0,212.0,18.0,18.0,299.0,273.0,117.0,42.0,28.0,13.0,64.0,132.0,116.0,9.0,13.0,94.0,112.0,44.0,25.0,9.0,10.0,31.0,37.0,26.0,1.0,4.0,62.0,56.0,19.0,13.0,3.0,5.0,19.0,23.0,28.0,0.0,0.0,61.0,49.0,19.0,8.0,5.0,1.0,12.0,25.0,20.0,0.0,0.0,217.0,194.0,71.0,25.0,13.0,13.0,54.0,76.0,63.0,5.0,4.0,264.0,234.0,106.0,44.0,25.0,15.0,76.0,124.0,105.0,8.0,4.0,281.0,250.0,98.0,39.0,35.0,11.0,60.0,100.0,111.0,4.0,7.0,15.0,13.0,5.0,2.0,0.0,2.0,4.0,8.0,6.0,0.0,0.0,20.0,18.0,8.0,4.0,0.0,2.0,2.0,7.0,4.0,0.0,0.0
6,764.0,718.0,296.0,123.0,56.0,57.0,217.0,316.0,265.0,17.0,22.0,700.0,637.0,276.0,100.0,52.0,35.0,198.0,287.0,241.0,20.0,19.0,285.0,240.0,107.0,46.0,20.0,21.0,79.0,118.0,95.0,1.0,5.0,125.0,92.0,48.0,16.0,8.0,8.0,31.0,56.0,51.0,0.0,3.0,71.0,54.0,16.0,6.0,10.0,3.0,14.0,37.0,21.0,1.0,0.0,47.0,40.0,16.0,12.0,2.0,2.0,8.0,22.0,13.0,0.0,1.0,207.0,169.0,79.0,31.0,18.0,5.0,43.0,87.0,73.0,6.0,4.0,300.0,278.0,130.0,36.0,24.0,27.0,82.0,111.0,108.0,10.0,7.0,248.0,236.0,91.0,37.0,22.0,22.0,83.0,115.0,75.0,3.0,3.0,11.0,15.0,8.0,0.0,0.0,2.0,3.0,8.0,3.0,0.0,0.0,16.0,15.0,6.0,2.0,0.0,0.0,12.0,10.0,4.0,0.0,0.0
7,796.0,672.0,310.0,136.0,74.0,34.0,189.0,306.0,288.0,19.0,22.0,658.0,647.0,273.0,99.0,47.0,38.0,176.0,280.0,270.0,16.0,13.0,263.0,253.0,116.0,48.0,28.0,20.0,58.0,105.0,99.0,10.0,7.0,121.0,115.0,48.0,27.0,10.0,7.0,36.0,45.0,48.0,2.0,1.0,61.0,44.0,27.0,7.0,2.0,2.0,18.0,30.0,21.0,1.0,1.0,36.0,43.0,23.0,9.0,8.0,1.0,19.0,21.0,24.0,1.0,1.0,211.0,201.0,81.0,35.0,14.0,9.0,64.0,77.0,66.0,3.0,2.0,298.0,273.0,122.0,41.0,11.0,19.0,80.0,110.0,102.0,6.0,5.0,288.0,244.0,103.0,48.0,18.0,18.0,67.0,92.0,96.0,6.0,6.0,13.0,19.0,5.0,4.0,1.0,1.0,3.0,5.0,6.0,0.0,1.0,16.0,10.0,3.0,1.0,1.0,0.0,4.0,5.0,5.0,0.0,3.0
8,782.0,708.0,301.0,104.0,52.0,43.0,196.0,303.0,299.0,17.0,18.0,676.0,620.0,268.0,109.0,51.0,59.0,204.0,274.0,203.0,13.0,17.0,288.0,281.0,100.0,44.0,27.0,24.0,65.0,130.0,103.0,8.0,5.0,102.0,130.0,45.0,14.0,9.0,12.0,28.0,53.0,35.0,2.0,4.0,49.0,53.0,23.0,7.0,7.0,7.0,13.0,23.0,19.0,1.0,0.0,60.0,48.0,19.0,6.0,6.0,1.0,17.0,26.0,17.0,5.0,3.0,191.0,193.0,81.0,32.0,16.0,16.0,60.0,87.0,63.0,6.0,5.0,301.0,247.0,125.0,59.0,20.0,21.0,82.0,100.0,110.0,5.0,3.0,267.0,260.0,110.0,33.0,18.0,13.0,70.0,101.0,93.0,5.0,5.0,14.0,10.0,8.0,3.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,23.0,14.0,6.0,3.0,1.0,0.0,5.0,8.0,10.0,0.0,2.0
9,777.0,705.0,301.0,108.0,69.0,49.0,196.0,266.0,260.0,12.0,21.0,723.0,628.0,273.0,118.0,52.0,36.0,166.0,266.0,236.0,8.0,15.0,279.0,218.0,116.0,41.0,20.0,19.0,85.0,115.0,99.0,12.0,8.0,112.0,118.0,52.0,21.0,10.0,11.0,23.0,47.0,37.0,4.0,0.0,51.0,52.0,25.0,11.0,1.0,4.0,12.0,21.0,21.0,3.0,1.0,53.0,50.0,19.0,5.0,1.0,5.0,14.0,25.0,19.0,0.0,1.0,222.0,185.0,78.0,27.0,16.0,15.0,52.0,84.0,74.0,6.0,5.0,311.0,295.0,110.0,54.0,21.0,11.0,95.0,126.0,104.0,5.0,4.0,263.0,239.0,102.0,42.0,18.0,20.0,69.0,116.0,111.0,8.0,6.0,17.0,22.0,9.0,1.0,0.0,2.0,3.0,3.0,7.0,2.0,1.0,18.0,16.0,9.0,1.0,0.0,1.0,5.0,6.0,7.0,0.0,2.0
10,791.0,728.0,277.0,122.0,56.0,41.0,186.0,312.0,317.0,14.0,17.0,733.0,620.0,243.0,104.0,45.0,41.0,177.0,287.0,259.0,18.0,7.0,260.0,273.0,110.0,40.0,16.0,21.0,76.0,105.0,95.0,4.0,12.0,123.0,109.0,39.0,22.0,9.0,3.0,31.0,46.0,49.0,3.0,3.0,49.0,60.0,20.0,6.0,5.0,5.0,15.0,21.0,19.0,1.0,1.0,57.0,40.0,28.0,5.0,2.0,4.0,12.0,19.0,17.0,1.0,1.0,202.0,184.0,87.0,30.0,14.0,11.0,53.0,81.0,68.0,2.0,5.0,304.0,256.0,100.0,49.0,24.0,19.0,91.0,117.0,110.0,7.0,5.0,264.0,251.0,90.0,44.0,20.0,17.0,68.0,99.0,112.0,3.0,7.0,28.0,12.0,10.0,2.0,2.0,1.0,6.0,7.0,5.0,1.0,0.0,9.0,19.0,6.0,3.0,0.0,0.0,6.0,5.0,4.0,0.0,0.0
11,765.0,694.0,315.0,104.0,64.0,61.0,197.0,307.0,248.0,19.0,15.0,639.0,635.0,265.0,131.0,56.0,44.0,181.0,281.0,232.0,12.0,15.0,302.0,268.0,98.0,51.0,21.0,23.0,85.0,124.0,112.0,4.0,5.0,99.0,117.0,38.0,15.0,8.0,11.0,33.0,63.0,36.0,5.0,3.0,50.0,57.0,16.0,14.0,2.0,5.0,16.0,25.0,23.0,0.0,3.0,36.0,48.0,22.0,12.0,5.0,3.0,11.0,21.0,22.0,1.0,2.0,221.0,195.0,98.0,32.0,11.0,13.0,59.0,72.0,77.0,3.0,2.0,325.0,249.0,117.0,39.0,24.0,24.0,91.0,107.0,102.0,7.0,0.0,276.0,237.0,89.0,46.0,18.0,10.0,64.0,99.0,106.0,5.0,6.0,19.0,19.0,10.0,6.0,1.0,1.0,0.0,10.0,4.0,1.0,0.0,22.0,17.0,6.0,0.0,1.0,2.0,2.0,3.0,8.0,0.0,1.0
12,782.0,701.0,312.0,128.0,61.0,47.0,204.0,304.0,285.0,17.0,24.0,677.0,585.0,257.0,117.0,50.0,48.0,157.0,278.0,240.0,15.0,19.0,294.0,234.0,104.0,49.0,17.0,10.0,75.0,141.0,98.0,5.0,5.0,108.0,105.0,52.0,16.0,7.0,9.0,28.0,49.0,34.0,5.0,3.0,65.0,62.0,22.0,11.0,2.0,5.0,18.0,27.0,16.0,1.0,2.0,50.0,53.0,27.0,8.0,2.0,3.0,11.0,25.0,18.0,1.0,0.0,224.0,175.0,87.0,26.0,23.0,9.0,59.0,99.0,68.0,4.0,9.0,266.0,288.0,138.0,47.0,25.0,22.0,79.0,138.0,91.0,7.0,9.0,284.0,244.0,84.0,46.0,25.0,14.0,69.0,87.0,94.0,7.0,3.0,18.0,17.0,1.0,3.0,2.0,1.0,4.0,6.0,7.0,0.0,0.0,15.0,18.0,5.0,1.0,3.0,2.0,1.0,9.0,4.0,0.0,0.0
13,810.0,680.0,299.0,135.0,55.0,55.0,208.0,294.0,255.0,17.0,20.0,753.0,606.0,265.0,125.0,45.0,43.0,188.0,261.0,243.0,12.0,19.0,292.0,262.0,119.0,35.0,18.0,14.0,72.0,114.0,86.0,3.0,8.0,144.0,109.0,50.0,20.0,11.0,7.0,37.0,44.0,41.0,2.0,3.0,48.0,46.0,30.0,13.0,4.0,4.0,14.0,22.0,20.0,1.0,0.0,52.0,36.0,18.0,4.0,6.0,2.0,5.0,23.0,11.0,0.0,3.0,214.0,197.0,68.0,37.0,11.0,19.0,49.0,70.0,73.0,3.0,9.0,302.0,287.0,115.0,42.0,29.0,18.0,85.0,102.0,109.0,6.0,4.0,267.0,244.0,89.0,48.0,17.0,20.0,73.0,111.0,88.0,4.0,3.0,12.0,17.0,4.0,1.0,1.0,0.0,6.0,7.0,7.0,0.0,1.0,12.0,12.0,6.0,2.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0
